carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file,matched_source_airline_id,enrichment_sources
abx-air-inc,"ABX Air, Inc.",GB,United States,Scheduled,,,,https://abxair.com,https://www.abxair.com/contact,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,abx-air-354,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
adria-airways,Adria Airways,JP,Slovenia,Scheduled,,,,,,,,,,,,,,yes,no,,
aegean-airlines,Aegean Airlines,A3,Greece,Scheduled,,,,https://en.aegeanair.com,,https://en.aegeanair.com/travel-information/baggage/add-baggage,https://en.aegeanair.com/travel-information/baggage/cabin-baggage,https://en.aegeanair.com/travel-information/baggage/add-baggage,,,https://en.aegeanair.com/conditions-notices/conditions-notices/,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,aegean-airlines-1019,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
aero-charter-ukraine,Aero-Charter Ukraine,DW,Ukraine,Scheduled,,,,,,,,,,,,,,yes,no,,
aero-mongolia,Aero Mongolia,M0,Mongolia,Scheduled,,,,https://aeromongolia.mn,,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,aero-mongolia-1025,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
aero-tropics-air-services,Aero-Tropics Air Services,HC,Australia,Scheduled,,,,https://flyairsenegal.com,,,,,,,https://flyairsenegal.com/en/legal-notice/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no,,
aeroflot,Aeroflot,SU,Russia,Scheduled,,,,https://www.aeroflot.ru,,,,,,,https://www.aeroflot.ru/gb-en/information/legal/contract,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no,aeroflot-1846,
aeromar,Aeromar,VW,Mexico,Scheduled,,,,,,,,,,,,,,yes,no,,
aeromexico,Aeroméxico,AM,Mexico,Scheduled,,,,https://aeromexico.com,,https://www.aeromexico.com/en-us/travel-information/baggage,https://www.aeromexico.com/en/travel-with-aeromexico/baggage/carry-on-bags,https://www.aeromexico.com/en/travel-with-aeromexico/baggage/excess-baggage-charges/index.html,,,https://aeromexico.com/en-us/legal-information,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,aerom-xico-1032,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
african-express-airways,African Express Airways,XU,Kenya,Scheduled,,,,https://africanexpress.net,,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,african-express-airways-1038,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
ahk-air-hong-kong-limited,AHK Air Hong Kong Limited,LD,Hong Kong,Scheduled,,,,https://airhongkong.com.hk,https://www.airhongkong.com.hk/contactus,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-hong-kong-1144,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
aigle-azur,Aigle Azur,ZI,France,Scheduled,,,,,,,,,,,,,,yes,no,,
