rank,iata,name,city,country,uniquenessScore,status,missing,official_website_url,terminal_map_url,transport_url,parking_url,lounges_url,accessibility_url,source_notes
1,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,United States,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
5,EWR,Newark Liberty International Airport,New York,United States,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
6,DFW,Dallas/Fort Worth International Airport,Dallas,United States,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
7,MIA,Miami International Airport,Miami,United States,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
9,IAD,Washington Dulles International Airport,Washington,United States,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
10,IAH,George Bush Intercontinental Airport,Houston,United States,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
11,LAS,McCarran International Airport,Las Vegas,United States,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
12,BOS,Logan International Airport,Boston,United States,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
15,YVR,Vancouver International Airport,Vancouver,Canada,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
17,MEX,Benito Juarez International Airport,Mexico City,Mexico,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
18,CUN,Cancun International Airport,Cancun,Mexico,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
19,LHR,London Heathrow Airport,London,United Kingdom,64,needs_enrichment,450+ words of unique about content; Overview section; Airlines section; 2+ official/source URLs in content,,,,,,,
