iata,name,officialWebsiteUrl,wikipediaUrl,wikidataUrl,sourceNotes
ATL,Hartsfield–Jackson Atlanta International Airport,https://www.atl.com,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,http://www.wikidata.org/entity/Q214861,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
LAX,Los Angeles International Airport,https://www.flylax.com/,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,http://www.wikidata.org/entity/Q8731,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
ORD,O'Hare International Airport,https://www.flychicago.com/ohare/,https://en.wikipedia.org/wiki/O%27Hare_International_Airport,http://www.wikidata.org/entity/Q213717,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
JFK,John F. Kennedy International Airport,https://www.jfkairport.com,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,http://www.wikidata.org/entity/Q8685,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
EWR,Newark Liberty International Airport,https://www.amtrak.com/stations/ewr,https://en.wikipedia.org/wiki/Newark_Liberty_International_Airport_Station,http://www.wikidata.org/entity/Q14705806,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
DFW,Dallas/Fort Worth International Airport,https://www.dfwairport.com/,https://en.wikipedia.org/wiki/Dallas_Fort_Worth_International_Airport,http://www.wikidata.org/entity/Q459096,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
MIA,Miami International Airport,https://miami-airport.com,https://en.wikipedia.org/wiki/Miami_International_Airport,http://www.wikidata.org/entity/Q127530,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
SFO,San Francisco International Airport,https://FlySFO.com,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,http://www.wikidata.org/entity/Q8688,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
IAD,Washington Dulles International Airport,https://flydulles.com/iad/dulles-international-airport,https://en.wikipedia.org/wiki/Dulles_International_Airport,http://www.wikidata.org/entity/Q466835,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
IAH,George Bush Intercontinental Airport,https://www.fly2houston.com/iah,https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport,http://www.wikidata.org/entity/Q744748,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
LAS,Harry Reid International Airport,https://www.harryreidairport.com/,https://en.wikipedia.org/wiki/Harry_Reid_International_Airport,http://www.wikidata.org/entity/Q853886,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
BOS,Logan International Airport,https://www.massport.com/logan-airport,https://en.wikipedia.org/wiki/Logan_International_Airport,http://www.wikidata.org/entity/Q671475,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
SEA,Seattle–Tacoma International Airport,https://www.portseattle.org/sea-tac,https://en.wikipedia.org/wiki/Seattle%E2%80%93Tacoma_International_Airport,http://www.wikidata.org/entity/Q14295,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
YYZ,Toronto Pearson International Airport,https://www.torontopearson.com/,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,http://www.wikidata.org/entity/Q242066,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
YVR,Vancouver International Airport,https://www.yvr.ca/zh-cn/,https://en.wikipedia.org/wiki/Vancouver_International_Airport,http://www.wikidata.org/entity/Q321224,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
YUL,Montréal–Trudeau International Airport,https://www.admtl.com/en,https://en.wikipedia.org/wiki/Montr%C3%A9al%E2%80%93Trudeau_International_Airport,http://www.wikidata.org/entity/Q736627,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
MEX,Aeropuerto Internacional Benito Juárez,https://www.aicm.com.mx,https://en.wikipedia.org/wiki/Mexico_City_International_Airport,http://www.wikidata.org/entity/Q860559,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
