rank,iata,name,city,country,icao,aboutWords,hasHero,sourceUrlCount,routes,destinations,countries,carriers,uniquenessScore,status,missing
1,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,United States,KATL,606,yes,3,0,0,0,0,82,ready_review,3+ tracked routes; 2+ tracked carriers
2,LAX,Los Angeles International Airport,Los Angeles,United States,KLAX,192,yes,3,13,13,7,30,91,ready_review,450+ words of unique about content
3,ORD,O'Hare International Airport,Chicago,United States,KORD,189,yes,3,10,10,5,17,91,ready_review,450+ words of unique about content
4,JFK,John F. Kennedy International Airport,New York,United States,KJFK,190,yes,3,8,8,7,18,91,ready_review,450+ words of unique about content
5,EWR,Newark Liberty International Airport,New York,United States,KEWR,184,yes,3,1,1,1,6,82,ready_review,450+ words of unique about content; 3+ tracked routes
6,DFW,Dallas/Fort Worth International Airport,Dallas,United States,KDFW,203,yes,3,2,2,1,9,82,ready_review,450+ words of unique about content; 3+ tracked routes
7,MIA,Miami International Airport,Miami,United States,KMIA,187,yes,3,1,1,1,3,82,ready_review,450+ words of unique about content; 3+ tracked routes
8,SFO,San Francisco International Airport,San Francisco,United States,KSFO,192,yes,3,6,6,3,18,91,ready_review,450+ words of unique about content
9,IAD,Washington Dulles International Airport,Washington,United States,KIAD,183,yes,3,1,1,1,5,82,ready_review,450+ words of unique about content; 3+ tracked routes
10,IAH,George Bush Intercontinental Airport,Houston,United States,KIAH,590,yes,3,0,0,0,0,82,ready_review,3+ tracked routes; 2+ tracked carriers
11,LAS,McCarran International Airport,Las Vegas,United States,KLAS,187,yes,3,2,2,1,11,82,ready_review,450+ words of unique about content; 3+ tracked routes
12,BOS,Logan International Airport,Boston,United States,KBOS,184,yes,3,2,2,2,13,82,ready_review,450+ words of unique about content; 3+ tracked routes
13,SEA,Seattle-Tacoma International Airport,Seattle,United States,KSEA,188,yes,3,3,3,1,11,91,ready_review,450+ words of unique about content
14,YYZ,Pearson International Airport,Toronto,Canada,CYYZ,204,yes,3,4,4,3,10,91,ready_review,450+ words of unique about content
15,YVR,Vancouver International Airport,Vancouver,Canada,CYVR,185,yes,3,2,2,2,9,82,ready_review,450+ words of unique about content; 3+ tracked routes
16,YUL,Montreal-Pierre Elliott Trudeau International Airport,Montreal,Canada,CYUL,185,yes,3,3,3,3,9,91,ready_review,450+ words of unique about content
17,MEX,Benito Juarez International Airport,Mexico City,Mexico,MMMX,185,yes,3,2,2,2,11,82,ready_review,450+ words of unique about content; 3+ tracked routes
18,CUN,Cancun International Airport,Cancun,Mexico,MMUN,597,yes,3,0,0,0,0,82,ready_review,3+ tracked routes; 2+ tracked carriers
