carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes
40-mile-air,40-Mile Air,Q5,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
9-air,9 Air,AQ,China,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
abx-air-inc,"ABX Air, Inc.",GB,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
act-havayollari-as,ACT Havayollari A.S.,9T,Turkey,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ahk-air-hong-kong-limited,AHK Air Hong Kong Limited,LD,Hong Kong,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ais-airlines,AIS Airlines,0C,Netherlands,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
aix-connect,AIX Connect,I5,India,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
alpavia,ALPAVIA,AL,United States,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
alrosa,ALROSA,6R,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ana-wings,ANA Wings,EH,Japan,Scheduled,yes,en,manual-priority,Asia,https://www.ana.co.jp,,,,,,,https://www.ana.co.jp/en/gb/siteinfo/international/conditions-of-carriage/,,yes,2026-09-03,0,1,no,yes,no,https://www.ana.co.jp/en/gb/siteinfo/international/conditions-of-carriage/,baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector,1/6 urls imported from filled priority CSV
