carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
abx-air-inc,"ABX Air, Inc.",GB,United States,Scheduled,,,,,,,,,,,,,,yes,no
adria-airways,Adria Airways,JP,Slovenia,Scheduled,,,,,,,,,,,,,,yes,no
aegean-airlines,Aegean Airlines,A3,Greece,Scheduled,,,,https://en.aegeanair.com,,,,,,,https://en.aegeanair.com/conditions-notices/conditions-notices/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
aero-charter-ukraine,Aero-Charter Ukraine,DW,Ukraine,Scheduled,,,,,,,,,,,,,,yes,no
aero-mongolia,Aero Mongolia,M0,Mongolia,Scheduled,,,,,,,,,,,,,,yes,no
aero-tropics-air-services,Aero-Tropics Air Services,HC,Australia,Scheduled,,,,https://flyairsenegal.com,,,,,,,https://flyairsenegal.com/en/legal-notice/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
aeroflot,Aeroflot,SU,Russia,Scheduled,,,,https://www.aeroflot.ru,,,,,,,https://www.aeroflot.ru/gb-en/information/legal/contract,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
aeromar,Aeromar,VW,Mexico,Scheduled,,,,,,,,,,,,,,yes,no
aeromexico,Aeroméxico,AM,Mexico,Scheduled,,,,https://aeromexico.com,,,,,,,https://aeromexico.com/en-us/legal-information,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
african-express-airways,African Express Airways,XU,Kenya,Scheduled,,,,,,,,,,,,,,yes,no
ahk-air-hong-kong-limited,AHK Air Hong Kong Limited,LD,Hong Kong,Scheduled,,,,,,,,,,,,,,yes,no
aigle-azur,Aigle Azur,ZI,France,Scheduled,,,,,,,,,,,,,,yes,no
air-albania,Air Albania,ZB,Reunion,Scheduled,,,,,,,,,,,,,,yes,no
air-alsie,Air Alsie,6I,Denmark,Scheduled,,,,,,,,,,,,,,yes,no
air-arabia,Air Arabia,G9,United Arab Emirates,Low-cost,,,,,,,,,,,,,,yes,no
air-arabia-egypt,Air Arabia Egypt,E5,Egypt,Low-cost,,,,,,,,,,,,,,yes,no
air-arabia-maroc,Air Arabia Maroc,3O,Morocco,Low-cost,,,,,,,,,,,,,,yes,no
air-astana,Air Astana,KC,Kazakhstan,Scheduled,,,,,,,,,,,,,,yes,no
air-austral,Air Austral,UU,France,Scheduled,,,,https://www.air-austral.com,,,,,,,https://www.air-austral.com/en/general-conditions-of-carriage.html,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-botswana,Air Botswana,BP,Botswana,Scheduled,,,,https://www.airbotswana.co.bw,,,,,,,https://www.airbotswana.co.bw/general-conditions-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-burkina,Air Burkina,2J,Burkina Faso,Scheduled,,,,https://air-burkina.com,,,,,,,"https://air-burkina.com/en/general-conditions-of-carriage#:~:text=The%20passenger%20is%20required%20to,departure%20formalities%20to%20be%20completed.",,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-busan,Air Busan,BX,South Korea,Low-cost,,,,,,,,,,,,,,yes,no
air-cambodia,Air Cambodia,K6,Cambodia,Scheduled,,,,https://www.cambodiaangkorair.com,,,,,,,https://www.cambodiaangkorair.com/post-category/34/terms-and-conditions,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-cargo-carriers-llc,"Air Cargo Carriers, LLC.",2Q,United States,Scheduled,,,,,,,,,,,,,,yes,no
air-changan,Air Changan,9H,China,Scheduled,,,,,,,,,,,,,,yes,no
air-corsica,Air Corsica,XK,France,Scheduled,,,,https://www.aircorsica.com,,,,,,,https://www.aircorsica.com/flights/conditions-carriage-passengers.html,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-cote-divoire,Air Cote D'Ivoire,HF,Côte d'Ivoire (Ivory Coast),Scheduled,,,,,,,,,,,,,,yes,no
air-dilijans,Air Dilijans,RM,Armenia,Scheduled,,,,https://armeniafly.com,,,,,,,https://armeniafly.com/conditions-of-carriage-en,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-djibouti,Air Djibouti,DJ,Djibouti,Scheduled,,,,,,,,,,,,,,yes,no
air-europa,Air Europa,UX,Spain,Scheduled,,,,https://www.aireuropa.com,,,,,,,https://www.aireuropa.com/uk/en/aea/travel-information/terms-and-conditions/conditions-of-carriage.html,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-greenland,Air Greenland,GL,Greenland,Scheduled,,,,https://as-agl-web-prod.azurewebsites.net,,,,,,,https://as-agl-web-prod.azurewebsites.net/media/5hkdqc4p/provisions-of-carriage-air-greenland.pdf,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-iceland-connect,Air Iceland Connect,NY,Iceland,Scheduled,,,,,,,,,,,,,,yes,no
air-india-express,Air India Express,IX,India,Low-cost,,,,,,,,,,,,,,yes,no
air-japan,Air Japan,NQ,Japan,Scheduled,,,,https://www.air-japan.co.jp,,,,,,,https://www.air-japan.co.jp/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-kiribati,Air Kiribati,IK,Kiribati,Scheduled,,,,,,,,,,,,,,yes,no
air-koryo,Air Koryo,JS,North Korea,Scheduled,,,,,,,,,,,,,,yes,no
air-libya,Air Libya,7I,Libya,Scheduled,,,,,,,,,,,,,,yes,no
air-macau,Air Macau,NX,Macao,Scheduled,,,,http://www.airmacau.com.mo,,,,,,,http://www.airmacau.com.mo/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-madagascar,Air Madagascar,MD,Madagascar,Scheduled,,,,https://madagascarairlines.com,,,,,,,https://madagascarairlines.com/en/informations/general-conditions-of-sale-and-carriage.html,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
