carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
40-mile-air,40-Mile Air,Q5,United States,Scheduled,,,,,,,,,,,,,,no,no
9-air,9 Air,AQ,China,Low-cost,,,,,,,,,,,,,,no,no
abacus-international-pte-ltd,Abacus International Pte. Ltd.,1B,Singapore,Scheduled,,,,,,,,,,,,,,no,no
abx-air-inc,"ABX Air, Inc.",GB,United States,Scheduled,,,,,,,,,,,,,,yes,no
accesrail,AccesRail,9B,Canada,Scheduled,,,,,,,,,,,,,,no,no
act-havayollari-as,ACT Havayollari A.S.,9T,Turkey,Scheduled,,,,,,,,,,,,,,no,no
adria-airways,Adria Airways,JP,Slovenia,Scheduled,,,,,,,,,,,,,,yes,no
advanced-air,Advanced Air,AN,United States,Scheduled,,,,,,,,,,,,,,no,no
aegean-airlines,Aegean Airlines,A3,Greece,Scheduled,,,,https://en.aegeanair.com,,,,,,,https://en.aegeanair.com/conditions-notices/conditions-notices/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
aero,aero,N2,Estonia,Scheduled,,,,,,,,,,,,,,no,no
aero-charter-ukraine,Aero-Charter Ukraine,DW,Ukraine,Scheduled,,,,,,,,,,,,,,yes,no
aero-dili,Aero Dili,8G,Timor-Leste,Scheduled,,,,,,,,,,,,,,no,no
aero-k,Aero K,RF,South Korea,Low-cost,,,,,,,,,,,,,,no,no
aero-mongolia,Aero Mongolia,M0,Mongolia,Scheduled,,,,,,,,,,,,,,yes,no
aero-nomad-airlines,Aero Nomad Airlines,KA,Kyrgyzstan,Scheduled,,,,,,,,,,,,,,no,no
aero-tropics-air-services,Aero-Tropics Air Services,HC,Australia,Scheduled,,,,https://flyairsenegal.com,,,,,,,https://flyairsenegal.com/en/legal-notice/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
aeroflot,Aeroflot,SU,Russia,Scheduled,,,,https://www.aeroflot.ru,,,,,,,https://www.aeroflot.ru/gb-en/information/legal/contract,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
aeroitalia,AeroItalia,XZ,Italy,Low-cost,,,,,,,,,,,,,,no,no
aerolineas-argentinas,Aerolineas Argentinas,AR,Argentina,Scheduled,,,,https://www.aerolineas.com.ar,,,,,,,https://www.aerolineas.com.ar/legales?tab=condicionestransporte,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
aerolineas-sosa,Aerolineas Sosa,S0,Honduras,Scheduled,,,,,,,,,,,,,,no,no
aerolink,AeroLink,A8,Uganda,Scheduled,,,,,,,,,,,,,,no,no
aeromar,Aeromar,VW,Mexico,Scheduled,,,,,,,,,,,,,,yes,no
aeromexico,Aeroméxico,AM,Mexico,Scheduled,,,,https://aeromexico.com,,,,,,,https://aeromexico.com/en-us/legal-information,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
aeromexico-connect,Aeromexico Connect,5D,Mexico,Scheduled,,,,https://aeromexico.com,,,,,,,https://aeromexico.com/en-us/legal-information,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
aeronautical-telecommunications-ltdaerotel,Aeronautical Telecommunications Ltd.(AEROTEL),XI,Jamaica,Scheduled,,,,,,,,,,,,,,no,no
aeropelican-air-services,Aeropelican Air Services,OT,Australia,Scheduled,,,,,,,,,,,,,,no,no
aeroservis,Aeroservis,АЯ,Russia,Scheduled,,,,,,,,,,,,,,no,no
aerostan,AeroStan,KW,Kyrgyzstan,Scheduled,,,,,,,,,,,,,,no,no
aerotranscargo,Aerotranscargo,F5,Moldova (Republic of Moldova),Scheduled,,,,,,,,,,,,,,no,no
aerovias-dap,Aerovias DAP,V5,Chile,Scheduled,,,,,,,,,,,,,,no,no
africa-world-airlines,Africa World Airlines,AW,Ghana,Scheduled,,,,,,,,,,,,,,no,no
african-express-airways,African Express Airways,XU,Kenya,Scheduled,,,,,,,,,,,,,,yes,no
afrinat-international-airlines,Afrinat International Airlines,2F,Gambia,Scheduled,,,,,,,,,,,,,,no,no
afriqiyah-airways,Afriqiyah Airways,8U,Libya,Scheduled,,,,https://afriqiyah.aero,,,,,,,https://afriqiyah.aero/en/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
ahk-air-hong-kong-limited,AHK Air Hong Kong Limited,LD,Hong Kong,Scheduled,,,,,,,,,,,,,,yes,no
aigle-azur,Aigle Azur,ZI,France,Scheduled,,,,,,,,,,,,,,yes,no
air-albania,Air Albania,ZB,Reunion,Scheduled,,,,,,,,,,,,,,yes,no
air-algerie,Air Algerie,AH,Algeria,Scheduled,,,,https://airalgerie.dz,,,,,,,https://airalgerie.dz/en/legal-notice/general-conditions-of-carriage-2/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
air-alsie,Air Alsie,6I,Denmark,Scheduled,,,,,,,,,,,,,,yes,no
air-anka,Air Anka,6K,Turkey,Scheduled,,,,,,,,,,,,,,no,no
air-antilles,Air Antilles,4I,France,Low-cost,,,,,,,,,,,,,,no,no
air-arabia,Air Arabia,G9,United Arab Emirates,Low-cost,,,,,,,,,,,,,,yes,no
air-arabia-abu-dhabi,Air Arabia Abu Dhabi,3L,United Arab Emirates,Low-cost,,,,,,,,,,,,,,no,no
air-arabia-egypt,Air Arabia Egypt,E5,Egypt,Low-cost,,,,,,,,,,,,,,yes,no
air-arabia-maroc,Air Arabia Maroc,3O,Morocco,Low-cost,,,,,,,,,,,,,,yes,no
air-astana,Air Astana,KC,Kazakhstan,Scheduled,,,,,,,,,,,,,,yes,no
air-atlanta,Air Atlanta,CC,Iceland,Scheduled,,,,https://www.cmairlines.com,,,,,,,https://www.cmairlines.com/wp-content/uploads/2019/12/C-2-2019-11-Package-policies-EN.pdf,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
air-atlanta-europe,Air Atlanta Europe,CT,United Kingdom,Scheduled,,,,,,,,,,,,,,no,no
air-austral,Air Austral,UU,France,Scheduled,,,,https://www.air-austral.com,,,,,,,https://www.air-austral.com/en/general-conditions-of-carriage.html,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-berlin,Air Berlin,HE,Germany,Scheduled,,,,,,,,,,,,,,no,no
air-botswana,Air Botswana,BP,Botswana,Scheduled,,,,https://www.airbotswana.co.bw,,,,,,,https://www.airbotswana.co.bw/general-conditions-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-burkina,Air Burkina,2J,Burkina Faso,Scheduled,,,,https://air-burkina.com,,,,,,,"https://air-burkina.com/en/general-conditions-of-carriage#:~:text=The%20passenger%20is%20required%20to,departure%20formalities%20to%20be%20completed.",,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-busan,Air Busan,BX,South Korea,Low-cost,,,,,,,,,,,,,,yes,no
air-cairo,Air Cairo,SM,Egypt,Scheduled,,,,,,,,,,,,,,no,no
air-caledonie,Air Caledonie,TY,New Caledonia,Scheduled,,,,,,,,,,,,,,no,no
air-cambodia,Air Cambodia,K6,Cambodia,Scheduled,,,,https://www.cambodiaangkorair.com,,,,,,,https://www.cambodiaangkorair.com/post-category/34/terms-and-conditions,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-canada-express,Air Canada Express,QK,Canada,Scheduled,,,,,,,,,,,,,,no,no
air-canada-rouge,Air Canada Rouge,RV,Canada,Low-cost,,,,,,,,,,,,,,no,no
air-caraibes,Air Caraibes,TX,"France (Guadeloupe, overseas territory)",Scheduled,,,,https://en.aircaraibes.com,,,,,,,https://en.aircaraibes.com/en/general-conditions-sale-and-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
air-cargo-carriers-llc,"Air Cargo Carriers, LLC.",2Q,United States,Scheduled,,,,,,,,,,,,,,yes,no
air-cargo-germany,Air Cargo Germany,6U,Germany,Scheduled,,,,,,,,,,,,,,no,no
air-century,Air Century,Y2,Dominican Republic,Scheduled,,,,,,,,,,,,,,no,no
air-changan,Air Changan,9H,China,Scheduled,,,,,,,,,,,,,,yes,no
air-congo,Air Congo,4H,Democratic Republic of the Congo,Scheduled,,,,,,,,,,,,,,no,no
air-corsica,Air Corsica,XK,France,Scheduled,,,,https://www.aircorsica.com,,,,,,,https://www.aircorsica.com/flights/conditions-carriage-passengers.html,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-cote-divoire,Air Cote D'Ivoire,HF,Côte d'Ivoire (Ivory Coast),Scheduled,,,,,,,,,,,,,,yes,no
air-creebec,Air Creebec,YN,Canada,Scheduled,,,,,,,,,,,,,,no,no
air-dilijans,Air Dilijans,RM,Armenia,Scheduled,,,,https://armeniafly.com,,,,,,,https://armeniafly.com/conditions-of-carriage-en,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-djibouti,Air Djibouti,DJ,Djibouti,Scheduled,,,,,,,,,,,,,,yes,no
air-do,Air Do,HD,Japan,Scheduled,,,,,,,,,,,,,,no,no
air-europa,Air Europa,UX,Spain,Scheduled,,,,https://www.aireuropa.com,,,,,,,https://www.aireuropa.com/uk/en/aea/travel-information/terms-and-conditions/conditions-of-carriage.html,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
