carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes,matched_source_airline_id,enrichment_sources,skip_reason
40-mile-air,40-Mile Air,Q5,United States,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
9-air,9 Air,AQ,China,Low-cost,no,,,Asia,https://9air.com,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,9-air-557,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
abx-air-inc,"ABX Air, Inc.",GB,United States,Scheduled,no,en,,North America,https://abxair.com,https://www.abxair.com/contact,,,,,,,,no,,0,0,no,yes,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",abx-air-354,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
act-havayollari-as,ACT Havayollari A.S.,9T,Turkey,Scheduled,no,,,Europe,https://actairlines.com,https://www.actairlines.com/contact.php,,,,,,,,no,,0,0,no,no,no,,locale;band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,air-act-912,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
ahk-air-hong-kong-limited,AHK Air Hong Kong Limited,LD,Hong Kong,Scheduled,no,,,Asia,https://airhongkong.com.hk,https://www.airhongkong.com.hk/contactus,,,,,,,,no,,0,0,no,yes,no,,locale;band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",air-hong-kong-1144,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
ais-airlines,AIS Airlines,0C,Netherlands,Scheduled,no,,,Europe,https://flyirsairlines.com,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,ais-airlines-779,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
aix-connect,AIX Connect,I5,India,Low-cost,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
alpavia,ALPAVIA,AL,United States,Low-cost,no,en,,North America,https://air-leisure.com,,,,,,,,,no,,0,0,no,no,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,air-leisure-711,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
alrosa,ALROSA,6R,Russia,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
apa-guam,APA Guam,P9,Guam,Scheduled,no,,,Australia/Pacific,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
arincaeronautical-radio-inc,"ARINC(Aeronautical Radio, Inc.)",XA,United States,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
as-salaam-air,AS SALAAM AIR,0W,Tanzania,Scheduled,no,,,Africa,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
asl-airlines-ireland,ASL Airlines Ireland,5H,Ireland,Low-cost,no,en,,Europe,https://arubaairlines.com,https://www.aslairlines.ie/contact,,,,,,,,no,,0,0,no,no,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,asl-airlines-ireland-1136,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
asl-airways,ASL Airways,3V,Belgium,Scheduled,no,,,Europe,https://aslairlines.be,https://aslairlines.be/contact,,,,,,,,no,,0,0,no,no,no,,locale;band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,asl-airlines-belgium-67,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
atsa-airlines,ATSA Airlines,4A,Peru,Low-cost,no,,,Latin America,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
azur-air,AZUR Air,ZF,Russia,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
abacus-international-pte-ltd,Abacus International Pte. Ltd.,1B,Singapore,Scheduled,no,en,,Asia,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
accesrail,AccesRail,9B,Canada,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
adria-airways,Adria Airways,JP,Slovenia,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
advanced-air,Advanced Air,AN,United States,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aero-dili,Aero Dili,8G,Timor-Leste,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;band;region;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aero-k,Aero K,RF,South Korea,Low-cost,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aero-mongolia,Aero Mongolia,M0,Mongolia,Scheduled,no,,,Asia,https://aeromongolia.mn,,,,,,,,,no,,0,0,no,yes,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",aero-mongolia-1025,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
aero-nomad-airlines,Aero Nomad Airlines,KA,Kyrgyzstan,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aero-charter-ukraine,Aero-Charter Ukraine,DW,Ukraine,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aeroitalia,AeroItalia,XZ,Italy,Low-cost,no,,,Europe,https://aeroitalia.com,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,aeroitalia-137,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
aerolink,AeroLink,A8,Uganda,Scheduled,no,en,,Africa,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aerostan,AeroStan,KW,Kyrgyzstan,Scheduled,no,,,Asia,https://wataniyaairways.com,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,wataniya-airways-58,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
aerolineas-sosa,Aerolineas Sosa,S0,Honduras,Scheduled,no,,,Latin America,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aeromar,Aeromar,VW,Mexico,Scheduled,no,,,Latin America,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aeronautical-telecommunications-ltdaerotel,Aeronautical Telecommunications Ltd.(AEROTEL),XI,Jamaica,Scheduled,no,en,,Caribbean,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aeropelican-air-services,Aeropelican Air Services,OT,Australia,Scheduled,no,en,,Australia/Pacific,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aeroservis,Aeroservis,АЯ,Russia,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
aerotranscargo,Aerotranscargo,F5,Moldova (Republic of Moldova),Scheduled,no,,,,https://atc-md.aero,,,,,,,,,no,,0,0,no,no,no,,locale;band;region;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,aerotranscargo-1422,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
aerovias-dap,Aerovias DAP,V5,Chile,Scheduled,no,,,Latin America,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
africa-world-airlines,Africa World Airlines,AW,Ghana,Scheduled,no,en,,Africa,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
african-express-airways,African Express Airways,XU,Kenya,Scheduled,no,en,,Africa,https://africanexpress.net,,,,,,,,,no,,0,0,no,yes,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",african-express-airways-1038,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
afrinat-international-airlines,Afrinat International Airlines,2F,Gambia,Scheduled,no,en,,Africa,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
