name,slug,iata,country,type
40-Mile Air,40-mile-air,Q5,United States,Scheduled
9 Air,9-air,AQ,China,Low-cost
"ABX Air, Inc.",abx-air-inc,GB,United States,Scheduled
ACT Havayollari A.S.,act-havayollari-as,9T,Turkey,Scheduled
AHK Air Hong Kong Limited,ahk-air-hong-kong-limited,LD,Hong Kong,Scheduled
AIS Airlines,ais-airlines,0C,Netherlands,Scheduled
AIX Connect,aix-connect,I5,India,Low-cost
ALPAVIA,alpavia,AL,United States,Low-cost
ALROSA,alrosa,6R,Russia,Scheduled
ANA Wings,ana-wings,EH,Japan,Scheduled
APA Guam,apa-guam,P9,Guam,Scheduled
APG Airlines,apg-airlines,GP,France,Scheduled
"ARINC(Aeronautical Radio, Inc.)",arincaeronautical-radio-inc,XA,United States,Scheduled
AS SALAAM AIR,as-salaam-air,0W,Tanzania,Scheduled
ASKY Airlines,asky-airlines,KP,Togo,Scheduled
ASL Airlines France,asl-airlines-france,5O,France,Scheduled
ASL Airlines Ireland,asl-airlines-ireland,5H,Ireland,Low-cost
ASL Airways,asl-airways,3V,Belgium,Scheduled
ATSA Airlines,atsa-airlines,4A,Peru,Low-cost
AZUR Air,azur-air,ZF,Russia,Scheduled
Abacus International Pte. Ltd.,abacus-international-pte-ltd,1B,Singapore,Scheduled
AccesRail,accesrail,9B,Canada,Scheduled
Adria Airways,adria-airways,JP,Slovenia,Scheduled
Advanced Air,advanced-air,AN,United States,Scheduled
Aegean Airlines,aegean-airlines,A3,Greece,Scheduled
Aer Lingus,aer-lingus,EI,Ireland,Scheduled
Aero Dili,aero-dili,8G,Timor-Leste,Scheduled
Aero K,aero-k,RF,South Korea,Low-cost
Aero Mongolia,aero-mongolia,M0,Mongolia,Scheduled
Aero Nomad Airlines,aero-nomad-airlines,KA,Kyrgyzstan,Scheduled
Aero-Charter Ukraine,aero-charter-ukraine,DW,Ukraine,Scheduled
Aero-Tropics Air Services,aero-tropics-air-services,HC,Australia,Scheduled
AeroItalia,aeroitalia,XZ,Italy,Low-cost
AeroLink,aerolink,A8,Uganda,Scheduled
AeroStan,aerostan,KW,Kyrgyzstan,Scheduled
Aeroflot,aeroflot,SU,Russia,Scheduled
Aerolineas Argentinas,aerolineas-argentinas,AR,Argentina,Scheduled
Aerolineas Sosa,aerolineas-sosa,S0,Honduras,Scheduled
Aeromar,aeromar,VW,Mexico,Scheduled
Aeromexico Connect,aeromexico-connect,5D,Mexico,Scheduled
Aeroméxico,aeromexico,AM,Mexico,Scheduled
Aeronautical Telecommunications Ltd.(AEROTEL),aeronautical-telecommunications-ltdaerotel,XI,Jamaica,Scheduled
Aeropelican Air Services,aeropelican-air-services,OT,Australia,Scheduled
Aeroservis,aeroservis,АЯ,Russia,Scheduled
Aerotranscargo,aerotranscargo,F5,Moldova (Republic of Moldova),Scheduled
Aerovias DAP,aerovias-dap,V5,Chile,Scheduled
Africa World Airlines,africa-world-airlines,AW,Ghana,Scheduled
African Express Airways,african-express-airways,XU,Kenya,Scheduled
Afrinat International Airlines,afrinat-international-airlines,2F,Gambia,Scheduled
Afriqiyah Airways,afriqiyah-airways,8U,Libya,Scheduled
Aigle Azur,aigle-azur,ZI,France,Scheduled
Air Albania,air-albania,ZB,Reunion,Scheduled
Air Algerie,air-algerie,AH,Algeria,Scheduled
Air Alsie,air-alsie,6I,Denmark,Scheduled
Air Anka,air-anka,6K,Turkey,Scheduled
Air Antilles,air-antilles,4I,France,Low-cost
Air Arabia,air-arabia,G9,United Arab Emirates,Low-cost
